iter	Logloss
0	0.3054571085
1	0.2349519957
2	0.1988498616
3	0.1890340182
4	0.1823208553
5	0.180598165
6	0.1787293682
7	0.1765913159
8	0.174887862
9	0.173748453
10	0.1730872533
11	0.1720252845
12	0.1714597059
13	0.1712752843
14	0.1707572356
15	0.1703109731
16	0.1694400405
17	0.1692783318
18	0.1692780819
19	0.1689518562
20	0.1678184209
21	0.1663703975
22	0.1659380105
23	0.1653138615
24	0.1648387173
25	0.164338769
26	0.1636282964
27	0.1629847762
28	0.1629847203
29	0.1622771458
30	0.1620198765
31	0.1614501666
32	0.1613468189
33	0.1611904969
34	0.1604545136
35	0.1600129268
36	0.1595343277
37	0.1594495419
38	0.1587595385
39	0.1581266949
40	0.1574938452
41	0.1572466771
42	0.156873455
43	0.1560853509
44	0.155373995
45	0.1551400651
46	0.1548357335
47	0.1540379904
48	0.1534969337
49	0.1529080247
50	0.1523063407
51	0.1521153891
52	0.1517258309
53	0.1515291207
54	0.1513574645
55	0.1512437738
56	0.1504783946
57	0.1503304624
58	0.1501109725
59	0.1498520741
60	0.1492470623
61	0.1489169189
62	0.1486735321
63	0.1481846261
64	0.1479920302
65	0.1473478795
66	0.1469376777
67	0.1463253371
68	0.1460452208
69	0.1455452089
70	0.1455451533
71	0.1449157722
72	0.144616723
73	0.1442400642
74	0.144002888
75	0.1437697661
76	0.1431600031
77	0.1427336167
78	0.1424480139
79	0.142144709
