iter	Passed	Remaining
0	42	3374
1	103	4048
2	219	5635
3	343	6533
4	464	6968
5	563	6955
6	668	6969
7	728	6557
8	839	6620
9	970	6791
10	1016	6378
11	1067	6049
12	1164	6002
13	1267	5976
14	1379	5978
15	1427	5709
16	1529	5669
17	1634	5630
18	1739	5585
19	1832	5496
20	1920	5395
21	2012	5304
22	2103	5212
23	2204	5143
24	2298	5057
25	2390	4965
26	2478	4865
27	2565	4764
28	2657	4673
29	2755	4592
30	2844	4495
31	2935	4403
32	3028	4312
33	3118	4218
34	3214	4132
35	3316	4053
36	3409	3962
37	3509	3878
38	3604	3789
39	3696	3696
40	3794	3609
41	3883	3514
42	4004	3445
43	4098	3353
44	4199	3266
45	4297	3176
46	4393	3085
47	4486	2990
48	4575	2894
49	4667	2800
50	4815	2738
51	4967	2674
52	5104	2600
53	5228	2517
54	5318	2417
55	5409	2318
56	5496	2217
57	5578	2115
58	5676	2020
59	5773	1924
60	5856	1824
61	5933	1722
62	6015	1623
63	6094	1523
64	6175	1425
65	6255	1326
66	6395	1240
67	6467	1141
68	6541	1042
69	6626	946
70	6710	850
71	6804	756
72	6904	662
73	6973	565
74	7044	469
75	7118	374
76	7193	280
77	7270	186
78	7347	93
79	7426	0
