iter	Logloss
0	0.6557749619
1	0.6207915614
2	0.5887577782
3	0.5592547131
4	0.5323285959
5	0.5077619117
6	0.4850615925
7	0.4641762305
8	0.4432758559
9	0.4257190763
10	0.4085572057
11	0.3929258729
12	0.3782023725
13	0.3650470344
14	0.3522738279
15	0.3412500894
16	0.3310968196
17	0.3211369251
18	0.3125488002
19	0.3043188165
20	0.2963307103
21	0.2890101609
22	0.2811581737
23	0.2740848103
24	0.2675519741
25	0.2610216151
26	0.2550461069
27	0.2497706391
28	0.2450536914
29	0.2403142993
30	0.2363675563
31	0.232337108
32	0.2286809496
33	0.2256744484
34	0.2228573924
35	0.220496879
36	0.218129623
37	0.2152556273
38	0.2125489119
39	0.2101232074
40	0.2079058536
41	0.2058434684
42	0.2038751073
43	0.2020780498
44	0.2006995749
45	0.1993170023
46	0.1977857568
47	0.196299046
48	0.1949499258
49	0.1932148743
50	0.1919698176
51	0.1905525075
52	0.1892873534
53	0.1881316644
54	0.1870472013
55	0.1860077201
56	0.1851634769
57	0.1842411161
58	0.1834107307
59	0.1825944451
60	0.1820532473
61	0.1812252833
62	0.1806447846
63	0.1800212784
64	0.1794359369
65	0.1789219145
66	0.1783442842
67	0.1778601565
68	0.1773922708
69	0.1769918671
70	0.1766509736
71	0.176362531
72	0.1759684788
73	0.1755343807
74	0.1752992271
75	0.1749066091
76	0.1745329338
77	0.1743002947
78	0.1740791293
79	0.1737269857
80	0.1734465895
81	0.1727934493
82	0.1722337
83	0.1720923098
84	0.1718552937
85	0.1713394832
86	0.171050519
87	0.1707768841
88	0.1704483396
89	0.1702994059
90	0.170168763
91	0.1696610734
92	0.1691398986
93	0.168824411
94	0.1686120743
95	0.1683830673
96	0.1679357074
97	0.1675931376
98	0.1672375668
99	0.1669133249
100	0.1665389977
101	0.1663844762
102	0.1661936339
103	0.1658253974
104	0.1656166555
105	0.1655343285
106	0.1654751536
107	0.1652902344
108	0.1651006774
109	0.164962733
110	0.1649204333
111	0.1647227367
112	0.1644995597
113	0.1641955457
114	0.1641229973
115	0.1639220784
116	0.1636533049
117	0.163511151
118	0.1633931552
119	0.1632906375
120	0.1631171175
121	0.1630489462
122	0.1628375036
123	0.1627843822
124	0.1626548568
125	0.1625063701
126	0.1623677552
127	0.162297591
128	0.1621691645
129	0.1620263588
130	0.1619127401
131	0.1617251946
132	0.1615814948
133	0.1613858098
134	0.1613017505
135	0.161102508
136	0.1610655725
137	0.1610396637
138	0.1609725728
139	0.1609037124
140	0.160846903
141	0.1608014741
142	0.1605633404
143	0.1603520468
144	0.1602727372
145	0.1600979692
146	0.1600267805
147	0.1599339484
148	0.1598266625
149	0.1597157073
150	0.1596560853
151	0.1595238406
152	0.1594618345
153	0.159299248
154	0.1592655907
155	0.1592074589
156	0.1591080891
157	0.1590766111
158	0.1588566005
159	0.1587074619
160	0.1585883298
161	0.1585111808
162	0.158424812
163	0.158323952
164	0.1582942063
165	0.1582543279
166	0.1580805844
167	0.1579566841
168	0.1579263795
169	0.157844127
170	0.1577546848
171	0.1577026437
172	0.1576582579
173	0.1575598752
174	0.1575483085
175	0.1574265315
176	0.1574043107
177	0.1573691261
178	0.1571856784
179	0.157033988
180	0.1569726525
181	0.1568747355
182	0.1567766322
183	0.1566915486
184	0.156661095
185	0.1565788797
186	0.1564536197
187	0.1563420498
188	0.1562473551
189	0.1562000729
190	0.1561453497
191	0.1560604802
192	0.1559316254
193	0.1559133532
194	0.1557577887
195	0.1556817945
196	0.1556220794
197	0.1555550444
198	0.1555492703
199	0.1555079298
