iter	Logloss_SumError	Logloss_SumWeight
0	4297.681013	6554
1	4067.077743	6554
2	3855.414212	6554
3	3660.132006	6554
4	3482.433311	6554
5	3318.751381	6554
6	3169.512412	6554
7	3031.937838	6554
8	2893.152298	6554
9	2777.208401	6554
10	2661.795719	6554
11	2557.613549	6554
12	2460.572347	6554
13	2373.794217	6554
14	2288.165924	6554
15	2215.809873	6554
16	2148.852933	6554
17	2080.861827	6554
18	2023.50225	6554
19	1969.202995	6554
20	1916.995057	6554
21	1869.258356	6554
22	1816.575633	6554
23	1769.07872	6554
24	1725.25724	6554
25	1681.22889	6554
26	1641.04807	6554
27	1606.452917	6554
28	1575.197911	6554
29	1543.617826	6554
30	1517.919926	6554
31	1491.097107	6554
32	1466.788345	6554
33	1446.64929	6554
34	1428.536031	6554
35	1413.075108	6554
36	1397.461122	6554
37	1378.02267	6554
38	1359.52148	6554
39	1342.908112	6554
40	1327.902106	6554
41	1314.097864	6554
42	1300.553651	6554
43	1288.240506	6554
44	1278.747831	6554
45	1269.351446	6554
46	1259.13866	6554
47	1248.724887	6554
48	1239.460566	6554
49	1226.39268	6554
50	1217.660589	6554
51	1207.139469	6554
52	1198.201898	6554
53	1189.66224	6554
54	1181.496093	6554
55	1173.798515	6554
56	1167.506343	6554
57	1160.793306	6554
58	1154.627083	6554
59	1148.470615	6554
60	1144.701359	6554
61	1138.507896	6554
62	1133.934541	6554
63	1129.365939	6554
64	1124.902434	6554
65	1121.059554	6554
66	1116.912649	6554
67	1112.951282	6554
68	1108.901106	6554
69	1105.599966	6554
70	1102.976428	6554
71	1100.429413	6554
72	1096.96959	6554
73	1093.620352	6554
74	1091.616389	6554
75	1088.272	6554
76	1085.290396	6554
77	1083.594701	6554
78	1081.825863	6554
79	1079.050291	6554
80	1077.252543	6554
81	1073.455298	6554
82	1068.384837	6554
83	1067.070058	6554
84	1065.432105	6554
85	1062.528882	6554
86	1060.141467	6554
87	1058.141764	6554
88	1055.012846	6554
89	1053.991016	6554
90	1052.830094	6554
91	1049.948956	6554
92	1046.978838	6554
93	1044.334396	6554
94	1042.51615	6554
95	1041.138229	6554
96	1038.688005	6554
97	1035.514771	6554
98	1032.127764	6554
99	1030.32344	6554
100	1028.078568	6554
101	1027.05516	6554
102	1025.500395	6554
103	1023.309331	6554
104	1021.787572	6554
105	1021.098753	6554
106	1020.647447	6554
107	1018.914051	6554
108	1017.514153	6554
109	1016.398489	6554
110	1015.848064	6554
111	1014.409555	6554
112	1012.27915	6554
113	1010.626646	6554
114	1010.231487	6554
115	1008.209647	6554
116	1006.93437	6554
117	1005.606281	6554
118	1004.934292	6554
119	1004.151184	6554
120	1002.458209	6554
121	1002.041542	6554
122	1000.037151	6554
123	999.6135997	6554
124	998.6977129	6554
125	997.5189735	6554
126	996.6119021	6554
127	996.0619089	6554
128	994.6558529	6554
129	993.5637436	6554
130	992.6850552	6554
131	990.9032711	6554
132	989.7912786	6554
133	988.0723703	6554
134	987.8329982	6554
135	986.885752	6554
136	986.6738419	6554
137	986.4960285	6554
138	985.8496026	6554
139	985.5026095	6554
140	985.3183833	6554
141	985.1171605	6554
142	984.3492814	6554
143	983.2537389	6554
144	982.8830811	6554
145	981.3474971	6554
146	981.0443969	6554
147	980.3253821	6554
148	979.6114267	6554
149	978.8003652	6554
150	978.4538601	6554
151	977.5246609	6554
152	976.8869981	6554
153	975.6376872	6554
154	975.5245129	6554
155	974.9838031	6554
156	974.1118817	6554
157	973.9383815	6554
158	973.0723371	6554
159	972.1982232	6554
160	971.2229948	6554
161	970.8393868	6554
162	970.1882383	6554
163	969.302385	6554
164	969.3160122	6554
165	969.2196596	6554
166	968.8961503	6554
167	968.1607717	6554
168	968.1629937	6554
169	967.8612298	6554
170	967.1934038	6554
171	966.9627311	6554
172	966.7857876	6554
173	966.1695002	6554
174	966.1316173	6554
175	965.2610381	6554
176	965.1956855	6554
177	965.0158483	6554
178	964.3433983	6554
179	963.1446516	6554
180	962.6003309	6554
181	961.7800909	6554
182	960.8812124	6554
183	960.4033752	6554
184	960.3000079	6554
185	959.9366565	6554
186	958.9169258	6554
187	958.0611565	6554
188	957.2392123	6554
189	956.6442951	6554
190	956.261637	6554
191	955.6767731	6554
192	955.3061191	6554
193	955.1979036	6554
194	954.7502179	6554
195	954.1819271	6554
196	953.7591312	6554
197	952.9779409	6554
198	953.0198203	6554
199	952.7917737	6554
