iter	Passed	Remaining
0	28	5758
1	63	6287
2	232	15286
3	312	15331
4	354	13821
5	390	12635
6	426	11769
7	461	11084
8	504	10701
9	535	10169
10	573	9849
11	617	9671
12	656	9445
13	698	9274
14	759	9363
15	805	9260
16	851	9163
17	947	9579
18	1148	10936
19	1191	10724
20	1237	10549
21	1286	10409
22	1329	10233
23	1369	10044
24	1407	9855
25	1443	9658
26	1479	9480
27	1516	9315
28	1552	9154
29	1592	9023
30	1632	8902
31	1673	8785
32	1711	8661
33	1745	8523
34	1778	8386
35	1814	8266
36	1851	8158
37	1887	8045
38	1923	7940
39	1956	7827
40	1991	7724
41	2027	7627
42	2061	7525
43	2093	7422
44	2126	7326
45	2163	7243
46	2199	7158
47	2237	7086
48	2275	7011
49	2312	6938
50	2349	6864
51	2385	6790
52	2424	6725
53	2464	6662
54	2502	6598
55	2540	6531
56	2575	6461
57	2608	6386
58	2642	6314
59	2684	6264
60	2724	6208
61	2760	6143
62	2796	6080
63	2833	6020
64	2867	5955
65	2906	5900
66	3025	6005
67	3073	5965
68	3115	5914
69	3153	5856
70	3191	5798
71	3229	5740
72	3269	5687
73	3313	5642
74	3351	5586
75	3408	5560
76	3454	5517
77	3493	5463
78	3539	5421
79	3584	5376
80	3627	5329
81	3674	5287
82	3720	5244
83	3761	5194
84	3806	5150
85	3843	5095
86	3886	5047
87	3924	4994
88	3963	4943
89	4002	4892
90	4038	4836
91	4071	4779
92	4111	4730
93	4152	4682
94	4193	4635
95	4228	4580
96	4265	4528
97	4305	4481
98	4344	4431
99	4380	4380
100	4417	4330
101	4451	4276
102	4488	4227
103	4526	4178
104	4566	4131
105	4602	4081
106	4640	4033
107	4676	3983
108	4710	3933
109	4744	3881
110	4779	3832
111	4814	3782
112	4859	3741
113	4898	3695
114	4938	3650
115	4981	3607
116	5103	3620
117	5193	3608
118	5264	3583
119	5313	3542
120	5362	3500
121	5408	3457
122	5459	3417
123	5503	3373
124	5545	3327
125	5589	3282
126	5640	3242
127	5680	3195
128	5730	3153
129	5772	3108
130	5815	3063
131	5859	3018
132	5901	2972
133	5947	2929
134	5988	2883
135	6030	2838
136	6079	2795
137	6121	2750
138	6164	2705
139	6205	2659
140	6241	2611
141	6280	2565
142	6321	2519
143	6364	2474
144	6406	2430
145	6450	2385
146	6492	2341
147	6534	2295
148	6575	2250
149	6624	2208
150	6664	2162
151	6711	2119
152	6754	2074
153	6796	2030
154	6835	1984
155	6869	1937
156	6906	1891
157	6938	1844
158	6967	1796
159	7004	1751
160	7047	1707
161	7080	1660
162	7112	1614
163	7151	1569
164	7186	1524
165	7224	1479
166	7263	1435
167	7375	1404
168	7426	1362
169	7471	1318
170	7509	1273
171	7545	1228
172	7588	1184
173	7629	1140
174	7670	1095
175	7715	1052
176	7754	1007
177	7797	963
178	7836	919
179	7881	875
180	7927	832
181	7967	788
182	8011	744
183	8055	700
184	8094	656
185	8136	612
186	8178	568
187	8224	524
188	8271	481
189	8318	437
190	8363	394
191	8406	350
192	8457	306
193	8497	262
194	8536	218
195	8580	175
196	8618	131
197	8659	87
198	8693	43
199	8732	0
