iter	Passed	Remaining
0	14	1389
1	27	1349
2	39	1292
3	51	1243
4	62	1190
5	74	1162
6	86	1151
7	99	1143
8	110	1116
9	122	1106
10	132	1074
11	141	1037
12	154	1031
13	165	1015
14	179	1017
15	193	1013
16	206	1007
17	219	999
18	230	980
19	240	963
20	251	947
21	262	930
22	272	911
23	281	892
24	291	875
25	301	857
26	315	851
27	326	838
28	334	819
29	343	801
30	352	785
31	362	769
32	370	753
33	379	736
34	388	721
35	397	707
36	410	699
37	420	686
38	430	673
39	441	662
40	453	652
41	462	638
42	472	626
43	482	614
44	492	601
45	502	589
46	514	580
47	525	569
48	537	559
49	548	548
50	557	535
51	568	525
52	579	513
53	590	503
54	600	491
55	611	480
56	624	471
57	636	460
58	646	449
59	655	437
60	665	425
61	675	413
62	684	402
63	694	390
64	704	379
65	714	367
66	723	356
67	734	345
68	746	335
69	758	325
70	769	314
71	863	335
72	886	327
73	902	317
74	913	304
75	925	292
76	937	280
77	951	268
78	967	257
79	980	245
80	993	232
81	1004	220
82	1013	207
83	1024	195
84	1034	182
85	1044	169
86	1058	158
87	1070	146
88	1080	133
89	1091	121
90	1101	108
91	1111	96
92	1122	84
93	1132	72
94	1142	60
95	1156	48
96	1164	36
97	1176	24
98	1186	11
99	1196	0
