iter	Logloss
0	0.3261247139
1	0.2471743575
2	0.2032055762
3	0.1891747591
4	0.1812973101
5	0.178313514
6	0.1768185333
7	0.1756479808
8	0.1739447612
9	0.1735390305
10	0.1722502958
11	0.1716678413
12	0.1715812303
13	0.1708402125
14	0.1697712463
15	0.1693165664
16	0.168904
17	0.1685658445
18	0.1682657606
19	0.1678119561
20	0.1675000633
21	0.1672059584
22	0.1665682778
23	0.1659947452
24	0.1656169722
25	0.1653121387
26	0.1652178351
27	0.164992069
28	0.1646052624
29	0.1644569806
30	0.1642639963
31	0.1639917211
32	0.163597464
33	0.1628441903
34	0.1623472107
35	0.1619720639
36	0.1618589481
37	0.1610715888
38	0.1605510845
39	0.1602140652
40	0.1598773812
41	0.1591275719
42	0.1587113175
43	0.1585725908
44	0.1581848715
45	0.1575729134
46	0.1574274814
47	0.1571958482
48	0.1566807641
49	0.1564376945
50	0.1562284497
51	0.1555893349
52	0.1552978748
53	0.1547350336
54	0.1545157215
55	0.1544005661
56	0.1541747907
57	0.1539893128
58	0.1537535911
59	0.1535020001
60	0.1534492698
61	0.1532432939
62	0.1528259685
63	0.1525052376
64	0.1521534758
65	0.1520297804
66	0.1518623511
67	0.1514152426
68	0.1512078325
69	0.1510948005
70	0.1510246921
71	0.150824956
72	0.1505559589
73	0.1504706238
74	0.150118564
75	0.1499993574
76	0.1497776425
77	0.1493670877
78	0.1492612173
79	0.1487814202
80	0.1486021261
81	0.1483163656
82	0.1481736251
83	0.1478023805
84	0.1475915525
85	0.1473778934
86	0.1468326165
87	0.14670419
88	0.1465491656
89	0.1462535799
90	0.1455899719
91	0.1454617783
92	0.1453689555
93	0.1452694739
94	0.1451867371
95	0.1450554236
96	0.1448369403
97	0.1447344413
98	0.1442953235
99	0.1440141822
